Woche,TensorFlow,PyTorch,Keras,Caffe,MXNet
2018-07-15,85,24,47,7,3
2018-07-22,90,26,48,7,3
2018-07-29,83,26,48,8,2
2018-08-05,83,26,45,7,3
2018-08-12,81,25,42,7,3
2018-08-19,80,25,45,7,4
2018-08-26,84,23,46,7,3
2018-09-02,78,26,44,7,3
2018-09-09,76,28,46,6,3
2018-09-16,82,27,44,7,3
2018-09-23,77,25,43,6,2
2018-09-30,76,32,44,5,2
2018-10-07,84,33,46,7,2
2018-10-14,85,34,49,7,3
2018-10-21,85,33,48,7,3
2018-10-28,82,38,49,6,2
2018-11-04,84,36,48,6,2
2018-11-11,88,37,52,7,2
2018-11-18,83,35,53,6,2
2018-11-25,100,37,53,7,2
2018-12-02,90,37,54,6,2
2018-12-09,76,36,51,6,2
2018-12-16,83,32,47,6,3
2018-12-23,65,26,37,6,2
2018-12-30,60,23,33,5,2
2019-01-06,77,32,43,6,3
2019-01-13,72,34,46,7,3
2019-01-20,79,31,46,5,3
2019-01-27,79,31,55,8,2
2019-02-03,67,31,55,7,2
2019-02-10,78,35,59,8,2
2019-02-17,81,38,64,8,2
2019-02-24,79,37,61,10,2
2019-03-03,87,40,63,9,3
2019-03-10,88,39,63,8,2
2019-03-17,85,41,64,9,2
2019-03-24,86,38,64,9,3
2019-03-31,94,39,55,6,3
2019-04-07,86,42,59,6,3
2019-04-14,79,41,54,5,3
2019-04-21,74,41,56,5,2
2019-04-28,67,35,49,4,2
2019-05-05,81,40,52,5,2
2019-05-12,81,40,58,6,2
2019-05-19,79,39,55,5,2
2019-05-26,81,38,58,5,2
2019-06-02,84,40,52,5,2
2019-06-09,82,40,56,5,3
2019-06-16,75,41,55,5,2
2019-06-23,82,44,54,4,2
2019-06-30,81,44,54,4,2
2019-07-07,79,45,59,5,3
2019-07-14,84,43,59,4,3
2019-07-21,78,44,56,4,3
2019-07-28,74,42,54,4,2
2019-08-04,81,43,53,5,3
2019-08-11,71,40,50,4,3
2019-08-18,76,44,54,4,2
2019-08-25,81,42,51,5,2
2019-09-01,79,42,46,4,2
2019-09-08,63,41,50,4,2
2019-09-15,75,40,50,4,2
2019-09-22,72,43,51,4,3
2019-09-29,80,38,49,3,2
2019-10-06,73,48,51,4,2
2019-10-13,78,48,55,4,2
2019-10-20,78,48,52,4,2
2019-10-27,78,45,53,3,2
2019-11-03,77,48,54,3,3
2019-11-10,81,49,54,3,2
2019-11-17,76,51,58,3,2
2019-11-24,73,44,54,3,1
2019-12-01,71,48,57,3,2
2019-12-08,78,46,53,4,2
